A,k,func_values
0.0005,628.31854,10300.796
0.0005,785.3982,4140.9336
0.0005,942.47784,2589.1453
0.0005,1099.5575,3230.4138
0.0005,1256.6371,5406.3125
0.0005,1413.7167,9188.878
0.0005,1570.7964,13734.195
0.0005,1727.8761,17272.123
0.0005,1884.9557,18375.906
0.0005,2042.0353,17004.895
0.0005,2199.115,14297.78
0.0005,2356.1946,11598.336
0.0005,2513.2742,9737.315
